,home_team,away_team,bet_type,outcome,odd
0,Arsenal,Crystal Palace,Résultat du match (temps réglementaire),,8.00
1,Arsenal,Crystal Palace,Double chance,Arsenal ou Nul,1.06
2,Arsenal,Crystal Palace,Double chance,Arsenal ou Crystal Palace,1.11
3,Arsenal,Crystal Palace,Double chance,Nul ou Crystal Palace,2.97
4,Arsenal,Crystal Palace,Nombre total de buts,"+ de 1,5",1.19
5,Arsenal,Crystal Palace,Nombre total de buts,"- de 1,5",3.70
6,Arsenal,Crystal Palace,Nombre total de buts,"+ de 2,5",1.62
7,Arsenal,Crystal Palace,Nombre total de buts,"- de 2,5",1.88
8,Arsenal,Crystal Palace,Nombre total de buts,"+ de 3,5",2.50
9,Arsenal,Crystal Palace,Nombre total de buts,"- de 3,5",1.32
10,Arsenal,Crystal Palace,But pour les 2 équipes,Oui,1.98
11,Arsenal,Crystal Palace,But pour les 2 équipes,Non,1.56
12,Arsenal,Crystal Palace,Total de buts - Arsenal,"+ de 0,5",1.07
13,Arsenal,Crystal Palace,Total de buts - Arsenal,"- de 0,5",7.10
14,Arsenal,Crystal Palace,Total de buts - Arsenal,"+ de 1,5",1.43
15,Arsenal,Crystal Palace,Total de buts - Arsenal,"- de 1,5",2.32
16,Arsenal,Crystal Palace,Total de buts - Arsenal,"+ de 2,5",2.35
17,Arsenal,Crystal Palace,Total de buts - Arsenal,"- de 2,5",1.44
18,Arsenal,Crystal Palace,Total de buts - Crystal Palace,"+ de 0,5",1.80
19,Arsenal,Crystal Palace,Total de buts - Crystal Palace,"- de 0,5",1.74
20,Arsenal,Crystal Palace,Total de buts - Crystal Palace,"+ de 1,5",4.48
21,Arsenal,Crystal Palace,Total de buts - Crystal Palace,"- de 1,5",1.10
22,Arsenal,Crystal Palace,Écart de buts,Arsenal gagne de 6 buts ou +,16.25
23,Arsenal,Crystal Palace,Écart de buts,Arsenal gagne de 5 buts exactement,8.40
24,Arsenal,Crystal Palace,Écart de buts,Crystal Palace ne perd pas ou perd de 4 buts ou -,1.01
25,Arsenal,Crystal Palace,Première équipe à marquer,Arsenal,1.29
26,Arsenal,Crystal Palace,Première équipe à marquer,Pas de but dans le match,13.75
27,Arsenal,Crystal Palace,Première équipe à marquer,Crystal Palace,3.58
28,Arsenal,Crystal Palace,Score exact,1 - 0,6.40
29,Arsenal,Crystal Palace,Score exact,0 - 0,14
30,Arsenal,Crystal Palace,Score exact,0 - 1,20
31,Arsenal,Crystal Palace,Score exact,2 - 0,5.80
32,Arsenal,Crystal Palace,Score exact,1 - 1,9.40
33,Arsenal,Crystal Palace,Score exact,0 - 2,60
34,Arsenal,Crystal Palace,Score exact,2 - 1,8.60
35,Arsenal,Crystal Palace,Score exact,2 - 2,25
36,Arsenal,Crystal Palace,Score exact,1 - 2,27
37,Arsenal,Crystal Palace,1ère mi-temps - Résultat,Arsenal,1.77
38,Arsenal,Crystal Palace,1ère mi-temps - Résultat,Nul,2.34
39,Arsenal,Crystal Palace,1ère mi-temps - Résultat,Crystal Palace,7.30
40,Aston Villa,Newcastle,Résultat du match (temps réglementaire),,3.25
41,Aston Villa,Newcastle,Double chance,Aston Villa ou Nul,1.25
42,Aston Villa,Newcastle,Double chance,Aston Villa ou Newcastle,1.19
43,Aston Villa,Newcastle,Double chance,Nul ou Newcastle,1.73
44,Aston Villa,Newcastle,Nombre total de buts,"+ de 1,5",1.13
45,Aston Villa,Newcastle,Nombre total de buts,"- de 1,5",4.60
46,Aston Villa,Newcastle,Nombre total de buts,"+ de 2,5",1.48
47,Aston Villa,Newcastle,Nombre total de buts,"- de 2,5",2.15
48,Aston Villa,Newcastle,Nombre total de buts,"+ de 3,5",2.15
49,Aston Villa,Newcastle,Nombre total de buts,"- de 3,5",1.45
50,Aston Villa,Newcastle,But pour les 2 équipes,Oui,1.45
51,Aston Villa,Newcastle,But pour les 2 équipes,Non,2.19
52,Aston Villa,Newcastle,Total de buts - Aston Villa,"+ de 0,5",1.11
53,Aston Villa,Newcastle,Total de buts - Aston Villa,"- de 0,5",5.20
54,Aston Villa,Newcastle,Total de buts - Aston Villa,"+ de 1,5",1.61
55,Aston Villa,Newcastle,Total de buts - Aston Villa,"- de 1,5",1.89
56,Aston Villa,Newcastle,Total de buts - Aston Villa,"+ de 2,5",3.07
57,Aston Villa,Newcastle,Total de buts - Aston Villa,"- de 2,5",1.26
58,Aston Villa,Newcastle,Total de buts - Aston Villa,"+ de 3,5",4.78
59,Aston Villa,Newcastle,Total de buts - Aston Villa,"- de 3,5",1.06
60,Aston Villa,Newcastle,Total de buts - Newcastle,"+ de 0,5",1.25
61,Aston Villa,Newcastle,Total de buts - Newcastle,"- de 0,5",3.18
62,Aston Villa,Newcastle,Total de buts - Newcastle,"+ de 1,5",2.19
