,team_home,team_away,bet_type,outcome,odd,percentage
0,Arsenal,Crystal Palace,Résultat,Arsenal,1.28,98
1,Arsenal,Crystal Palace,Résultat,Match nul,4.3,1
2,Arsenal,Crystal Palace,Résultat,Crystal Palace,7.25,1
3,Arsenal,Crystal Palace,Double chance,Arsenal ou match nul,1.03,87
4,Arsenal,Crystal Palace,Double chance,Arsenal ou Crystal Palace,1.13,13
5,Arsenal,Crystal Palace,Double chance,Crystal Palace ou match nul,3.05,0
6,Arsenal,Crystal Palace,Score exact,0 - 0,11.5,0
7,Arsenal,Crystal Palace,Score exact,1 - 0,5.9,0
8,Arsenal,Crystal Palace,Score exact,2 - 0,5.5,0
9,Arsenal,Crystal Palace,Score exact,3 - 0,7.25,0
10,Arsenal,Crystal Palace,Score exact,4 - 0,12.5,0
11,Arsenal,Crystal Palace,Score exact,5 - 0,26.0,0
12,Arsenal,Crystal Palace,Score exact,0 - 1,16.0,0
13,Arsenal,Crystal Palace,Score exact,1 - 1,8.0,0
14,Arsenal,Crystal Palace,Score exact,2 - 1,7.75,100
15,Arsenal,Crystal Palace,Score exact,3 - 1,10.0,0
16,Arsenal,Crystal Palace,Score exact,4 - 1,18.0,0
17,Arsenal,Crystal Palace,Score exact,5 - 1,36.0,0
18,Arsenal,Crystal Palace,Score exact,0 - 2,40.0,0
19,Arsenal,Crystal Palace,Score exact,1 - 2,22.0,0
20,Arsenal,Crystal Palace,Score exact,2 - 2,20.0,0
21,Arsenal,Crystal Palace,Score exact,3 - 2,27.0,0
22,Arsenal,Crystal Palace,Score exact,4 - 2,44.0,0
23,Arsenal,Crystal Palace,Score exact,5 - 2,65.0,0
24,Arsenal,Crystal Palace,Score exact,0 - 3,95.0,0
25,Arsenal,Crystal Palace,Score exact,1 - 3,60.0,0
26,Arsenal,Crystal Palace,Score exact,2 - 3,60.0,0
27,Arsenal,Crystal Palace,Score exact,3 - 3,65.0,0
28,Arsenal,Crystal Palace,Score exact,4 - 3,100.0,0
29,Arsenal,Crystal Palace,Score exact,5 - 3,170.0,0
30,Arsenal,Crystal Palace,Score exact,0 - 4,350.0,0
31,Arsenal,Crystal Palace,Score exact,1 - 4,180.0,0
32,Arsenal,Crystal Palace,Score exact,2 - 4,180.0,0
33,Arsenal,Crystal Palace,Score exact,3 - 4,225.0,0
34,Arsenal,Crystal Palace,Score exact,4 - 4,400.0,0
35,Arsenal,Crystal Palace,Score exact,5 - 4,450.0,0
36,Arsenal,Crystal Palace,Score exact,0 - 5,500.0,0
37,Arsenal,Crystal Palace,Score exact,1 - 5,500.0,0
38,Arsenal,Crystal Palace,Score exact,2 - 5,500.0,0
39,Arsenal,Crystal Palace,Score exact,3 - 5,500.0,0
40,Arsenal,Crystal Palace,Score exact,4 - 5,500.0,0
41,Arsenal,Crystal Palace,Score exact,Autre,26.0,0
42,Arsenal,Crystal Palace,Score exact multichance,1-0 ou 2-0 ou 3-0,2.35,0
43,Arsenal,Crystal Palace,Score exact multichance,0-1 ou 0-2 ou 0-3,12.0,0
44,Arsenal,Crystal Palace,Score exact multichance,4-0 ou 5-0 ou 6-0,8.0,0
45,Arsenal,Crystal Palace,Score exact multichance,0-4 ou 0-5 ou 0-6,100.0,0
46,Arsenal,Crystal Palace,Score exact multichance,2-1 ou 3-1 ou 4-1,4.1,0
47,Arsenal,Crystal Palace,Score exact multichance,1-2 ou 1-3 ou 1-4,17.0,0
48,Arsenal,Crystal Palace,Score exact multichance,3-2 ou 4-2 ou 4-3 ou 5-1,12.5,0
49,Arsenal,Crystal Palace,Score exact multichance,2-3 ou 2-4 ou 3-4 ou 1-5,50.0,0
50,Arsenal,Crystal Palace,Score exact multichance,Autre victoire à domicile,28.0,0
51,Arsenal,Crystal Palace,Score exact multichance,Autre victoire à l'extérieur,100.0,0
52,Arsenal,Crystal Palace,Score exact multichance,Match nul,4.3,0
53,Arsenal,Crystal Palace,Les 2 équipes marquent,Oui,2.05,84
54,Arsenal,Crystal Palace,Les 2 équipes marquent,Non,1.62,16
55,Arsenal,Crystal Palace,Écart de buts|Arsenal gagne par au moins 4 buts d'écart,Oui,6.25,0
56,Arsenal,Crystal Palace,Écart de buts|Arsenal gagne par au moins 4 buts d'écart,Non,1.08,100
57,Arsenal,Crystal Palace,Écart de buts|Arsenal gagne par au moins 3 buts d'écart,Oui,3.25,19
58,Arsenal,Crystal Palace,Écart de buts|Arsenal gagne par au moins 3 buts d'écart,Non,1.25,81
