name,team,age,position,country,height_cm,weight_kg,jersey_number,key_stats_goals,key_stats_assists,key_stats_shot_accuracy,key_stats_pass_accuracy,defence_tackles,defence_tackles_won,defence_duels,defence_duels_won,defence_aerial_duels_won,defence_clearances,defence_blocked_shots,defence_interceptions,distribution_assists,distribution_total_passes,distribution_pass_accuracy,distribution_passes_90_minutes,distribution_touches_game,distribution_total_crosses,distribution_cross_accuracy,offense_goals,offense_minutes_goal,offense_shot_accuracy,offense_right_foot_goals,offense_left_foot_goals,offense_headed_goals,offense_goals_inside_the_box,offense_goals_outside_the_box,offense_other_goals,offense_successful_dribbles,offense_offsides,discipline_yellow_cards,discipline_yellow_red_cards,discipline_red_cards,discipline_fouls_conceded,discipline_fouls_won
Adrian,Liverpool,37,Goalkeeper,Spain,190,80,13,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson,Liverpool,31,Goalkeeper,Brazil,193,91,1,0,0,0.00,84.1,0,0.0,11,72.73 %,87.50 %,16,0,0,0,666,84.1 %,37.00,842,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,1,0,0,1,4
Caoimhín Kelleher,Liverpool,25,Goalkeeper,Ireland,188,74,62,0,0,0.00,91.0,0,0.0,1,100.00 %,100.00 %,2,0,0,0,67,91.0 %,33.50,83,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Mrozek,Liverpool,20,Goalkeeper,Poland,192,0,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelo Pitaluga,Liverpool,21,Goalkeeper,Brazil,192,77,45,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Vítezslav Jaroš,Liverpool,22,Goalkeeper,Czech Republic,187,73,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Robertson,Liverpool,29,Defender,Scotland,178,64,26,1,0,100.00,86.8,15,73.3,45,53.33 %,57.14 %,19,3,8,0,492,86.8 %,61.50,659,18,22.22,1,720.0,100.00 %,0,1,0,1,0,0,1,2,1,0,0,6,0
Calum Scanlon,Liverpool,18,Defender,England,0,0,48,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor Bradley,Liverpool,20,Defender,Northern Ireland,180,64,84,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahima Konaté,Liverpool,24,Defender,France,194,95,5,0,0,28.57,89.3,22,63.6,118,63.56 %,68.97 %,25,8,9,0,815,89.3 %,83.35,940,0,0.00,0,0,28.57 %,0,0,0,0,0,0,3,0,2,0,0,16,10
Jarell Quansah,Liverpool,20,Defender,England,0,0,78,0,0,0.00,90.0,4,75.0,33,60.61 %,66.67 %,9,0,4,0,291,90.0 %,99.58,322,0,0.00,0,0,0.00 %,0,0,0,0,0,0,2,0,0,0,0,4,0
Joe Gomez,Liverpool,26,Defender,England,188,77,2,0,0,12.50,87.0,29,55.2,116,59.48 %,76.92 %,25,3,12,0,623,87.0 %,60.49,891,23,13.04,0,0,12.50 %,0,0,0,0,0,0,10,0,2,0,0,14,10
Joel Matip,Liverpool,32,Defender,Cameroon,195,90,32,0,0,0.00,87.7,12,50.0,70,61.43 %,73.68 %,41,12,9,0,563,87.7 %,64.71,677,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,1,2,0,0,7,3
Kostas Tsimikas,Liverpool,27,Defender,Greece,179,77,21,0,3,0.00,85.8,19,68.4,76,43.42 %,23.53 %,9,1,6,3,352,85.8 %,47.71,576,32,15.62,0,0,0.00 %,0,0,0,0,0,0,4,1,0,0,0,10,7
Luke Chambers,Liverpool,19,Defender,England,0,0,44,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,Liverpool,25,Defender,England,175,72,66,2,3,22.22,79.0,26,69.2,132,46.21 %,63.64 %,30,1,22,3,1157,79.0 %,69.42,1628,52,23.08,2,750.0,22.22 %,2,0,0,2,0,0,22,0,5,0,0,5,6
Virgil van Dijk,Liverpool,32,Defender,Netherlands,195,92,4,1,2,41.18,90.5,26,50.0,147,77.55 %,82.00 %,81,16,24,2,1405,90.5 %,81.16,1622,0,0.00,1,1558.0,41.18 %,1,0,0,1,0,0,1,0,1,0,1,12,5
Alexis Mac Allister,Liverpool,25,Midfielder,Argentina,176,69,10,1,1,42.86,88.3,32,56.2,153,46.41 %,43.48 %,8,4,17,1,836,88.3 %,67.97,1020,2,0.00,1,1107.0,42.86 %,1,0,0,0,1,0,9,0,5,0,1,23,20
Bobby Clark,Liverpool,18,Midfielder,England,178,0,42,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,Liverpool,22,Midfielder,England,185,75,17,1,1,66.67,91.7,13,61.5,78,46.15 %,45.45 %,5,0,3,1,360,91.7 %,55.96,477,0,0.00,1,579.0,66.67 %,1,0,0,1,0,0,9,4,1,0,1,6,9
